K,S_mean,S_std,W_mean,W_std,condition,forecast_derivative_mae,forecast_mae,forecast_rmse,mask_density,mask_family,mask_kind,max_support,method,num_masks,task
9,506.1928566153846,16.940609978197006,0.085,0.20684824216365796,drift,7.0062631988032145,31.490775086269014,42.843875133592135,0.45,window_9,sliding_window,9,replan_last,12,regression
9,504.6123016026756,16.47851148346826,0.08166666666666667,0.21187395401646794,drift,5.563396965788379,34.991710022324455,44.252396068497404,0.45,window_9,sliding_window,9,replan_mean,12,regression
9,504.7874862715718,16.610946290993056,0.08083333333333333,0.20903249684259959,drift,5.718365812920984,30.994281334795733,41.082768683108355,0.45,window_9,sliding_window,9,replan_ewma,12,regression
9,529.6338629779264,28.632951415265293,0.085,0.20100058350139494,drift,14.672966042892071,65.59690134947698,118.84555625893861,0.45,window_9,sliding_window,9,replan_trend,12,regression
9,508.50788957324426,19.01850194077932,0.09333333333333334,0.2207272949151027,drift,8.661724141569685,36.29179982740668,58.70043541282169,0.45,window_9,sliding_window,9,replan_blend,12,regression
20,583.0236617364549,19.653912797420478,0.07,0.2564323999762428,drift,,,,1.0,all_ones,sliding_window,20,uniform,1,regression
20,591.8451830635452,20.50459921824562,0.06,0.23868325657594203,drift,7.0062631988032145,31.490775086269014,42.843875133592135,1.0,all_ones,sliding_window,20,replan_last,1,regression
20,593.8189303331103,22.532911392063994,0.06,0.23868325657594203,drift,5.563396965788379,34.991710022324455,44.252396068497404,1.0,all_ones,sliding_window,20,replan_mean,1,regression
20,592.7042367732441,22.210729155488323,0.06,0.23868325657594203,drift,5.718365812920984,30.994281334795733,41.082768683108355,1.0,all_ones,sliding_window,20,replan_ewma,1,regression
20,641.5132808561872,46.46475167096519,0.1,0.30151134457776363,drift,14.672966042892071,65.59690134947698,118.84555625893861,1.0,all_ones,sliding_window,20,replan_trend,1,regression
20,612.105614437458,33.1808573178322,0.07,0.2564323999762428,drift,8.661724141569685,36.29179982740668,58.70043541282169,1.0,all_ones,sliding_window,20,replan_blend,1,regression
1,0.8705000000000002,0.072507401224449,0.155,0.07670618217483115,nodrift,,,,0.05,window_1,sliding_window,1,uniform,20,classification
1,0.8705000000000002,0.072507401224449,0.155,0.07670618217483115,nodrift,,,,0.05,window_1,sliding_window,1,replan_last,20,classification
1,0.8705000000000002,0.072507401224449,0.155,0.07670618217483115,nodrift,,,,0.05,window_1,sliding_window,1,replan_mean,20,classification
1,0.8705000000000002,0.072507401224449,0.155,0.07670618217483115,nodrift,,,,0.05,window_1,sliding_window,1,replan_ewma,20,classification
1,0.8705000000000002,0.072507401224449,0.155,0.07670618217483115,nodrift,,,,0.05,window_1,sliding_window,1,replan_trend,20,classification
1,0.8705000000000002,0.072507401224449,0.155,0.07670618217483115,nodrift,,,,0.05,window_1,sliding_window,1,replan_blend,20,classification
3,1.0505000000000002,0.051978530921599514,0.1738888888888889,0.14183848870252438,nodrift,,,,0.15,window_3,sliding_window,3,uniform,18,classification
3,1.0655,0.07024308442181983,0.1638888888888889,0.14243508726451634,nodrift,0.19764045364995358,1.169321011741138,1.5434658058444048,0.15,window_3,sliding_window,3,replan_last,18,classification
3,1.0554999999999999,0.06272233182121748,0.1688888888888889,0.14622488987431467,nodrift,0.1699005922909476,1.0048719393572858,1.237131134455599,0.15,window_3,sliding_window,3,replan_mean,18,classification
3,1.0610000000000002,0.08574686730444005,0.16944444444444445,0.14801656614497005,nodrift,0.1733181355961943,1.020572278285438,1.2662473496894417,0.15,window_3,sliding_window,3,replan_ewma,18,classification
3,1.3870000000000002,0.45263649651767807,0.15999999999999998,0.1450174252379562,nodrift,0.3136661140857222,1.750412961162201,2.378179306029986,0.15,window_3,sliding_window,3,replan_trend,18,classification
3,1.2185,0.22266237974461545,0.1638888888888889,0.14287217333147106,nodrift,0.2227897937148478,1.3081098269130613,1.7172941844270015,0.15,window_3,sliding_window,3,replan_blend,18,classification
5,1.1644999999999999,0.10924326482255511,0.16,0.19121323175972943,nodrift,,,,0.25,window_5,sliding_window,5,uniform,16,classification
5,1.1635,0.10983343679583116,0.156875,0.1912493398021219,nodrift,0.19764045364995358,1.169321011741138,1.5434658058444048,0.25,window_5,sliding_window,5,replan_last,16,classification
5,1.6029999999999998,0.35822373235764604,0.17125,0.18815542012180284,nodrift,0.1699005922909476,1.0048719393572858,1.237131134455599,0.25,window_5,sliding_window,5,replan_mean,16,classification
5,1.5859999999999999,0.3729543530982706,0.175,0.1972426721507588,nodrift,0.1733181355961943,1.020572278285438,1.2662473496894417,0.25,window_5,sliding_window,5,replan_ewma,16,classification
5,2.694,1.069061705091399,0.1075,0.15541570192242612,nodrift,0.3136661140857222,1.750412961162201,2.378179306029986,0.25,window_5,sliding_window,5,replan_trend,16,classification
5,1.8659999999999999,0.5852513920694182,0.159375,0.18278477677643762,nodrift,0.2227897937148478,1.3081098269130613,1.7172941844270015,0.25,window_5,sliding_window,5,replan_blend,16,classification
7,1.2935000000000003,0.178610659471286,0.15428571428571428,0.2345449591623762,nodrift,,,,0.35,window_7,sliding_window,7,uniform,14,classification
7,1.8419999999999999,0.39091449373762216,0.14285714285714288,0.22587697572631282,nodrift,0.19764045364995358,1.169321011741138,1.5434658058444048,0.35,window_7,sliding_window,7,replan_last,14,classification
7,2.7009999999999996,0.7635304760641765,0.20357142857142857,0.25246159783166133,nodrift,0.1699005922909476,1.0048719393572858,1.237131134455599,0.35,window_7,sliding_window,7,replan_mean,14,classification
7,2.6605000000000003,0.6547146421352303,0.19785714285714281,0.2607916131938784,nodrift,0.1733181355961943,1.020572278285438,1.2662473496894417,0.35,window_7,sliding_window,7,replan_ewma,14,classification
7,4.199000000000001,1.2238369040345072,0.09,0.18901495786863767,nodrift,0.3136661140857222,1.750412961162201,2.378179306029986,0.35,window_7,sliding_window,7,replan_trend,14,classification
7,3.233,0.7806439972900904,0.15642857142857144,0.24464897928952975,nodrift,0.2227897937148478,1.3081098269130613,1.7172941844270015,0.35,window_7,sliding_window,7,replan_blend,14,classification
9,1.3935,0.22525574690815664,0.16416666666666668,0.2804055004255646,nodrift,,,,0.45,window_9,sliding_window,9,uniform,12,classification
9,4.138,2.1587164162197325,0.11416666666666668,0.2514422483690259,nodrift,0.19764045364995358,1.169321011741138,1.5434658058444048,0.45,window_9,sliding_window,9,replan_last,12,classification
9,5.015000000000001,1.0931259041959633,0.24416666666666667,0.313656390160737,nodrift,0.1699005922909476,1.0048719393572858,1.237131134455599,0.45,window_9,sliding_window,9,replan_mean,12,classification
9,4.939499999999999,0.9863793346979608,0.20833333333333337,0.28611233695922544,nodrift,0.1733181355961943,1.020572278285438,1.2662473496894417,0.45,window_9,sliding_window,9,replan_ewma,12,classification
9,6.298500000000001,0.843197827177926,0.08416666666666668,0.22206275844199697,nodrift,0.3136661140857222,1.750412961162201,2.378179306029986,0.45,window_9,sliding_window,9,replan_trend,12,classification
9,5.0840000000000005,0.8085365255393928,0.1975,0.2960303678267575,nodrift,0.2227897937148478,1.3081098269130613,1.7172941844270015,0.45,window_9,sliding_window,9,replan_blend,12,classification
20,1.8385000000000002,0.36768831497573723,0.18,0.38612291966536916,nodrift,,,,1.0,all_ones,sliding_window,20,uniform,1,classification
20,2.2005,0.6052170075787909,0.22,0.4163331998932266,nodrift,0.19764045364995358,1.169321011741138,1.5434658058444048,1.0,all_ones,sliding_window,20,replan_last,1,classification
20,7.070499999999999,0.5737126564066823,0.3,0.4605661864718382,nodrift,0.1699005922909476,1.0048719393572858,1.237131134455599,1.0,all_ones,sliding_window,20,replan_mean,1,classification
20,6.831500000000001,0.5804759019350182,0.3,0.4605661864718382,nodrift,0.1733181355961943,1.020572278285438,1.2662473496894417,1.0,all_ones,sliding_window,20,replan_ewma,1,classification
20,8.700000000000001,0.4414736570838514,0.02,0.14070529413628965,nodrift,0.3136661140857222,1.750412961162201,2.378179306029986,1.0,all_ones,sliding_window,20,replan_trend,1,classification
20,6.884499999999999,0.5715783128117858,0.17,0.3775251680686369,nodrift,0.2227897937148478,1.3081098269130613,1.7172941844270015,1.0,all_ones,sliding_window,20,replan_blend,1,classification
1,3.9015,0.5228831783312772,0.14500000000000002,0.0750420757396351,drift,,,,0.05,window_1,sliding_window,1,uniform,20,classification
1,3.9015,0.5228831783312772,0.14500000000000002,0.0750420757396351,drift,,,,0.05,window_1,sliding_window,1,replan_last,20,classification
1,3.9015,0.5228831783312772,0.14500000000000002,0.0750420757396351,drift,,,,0.05,window_1,sliding_window,1,replan_mean,20,classification
1,3.9015,0.5228831783312772,0.14500000000000002,0.0750420757396351,drift,,,,0.05,window_1,sliding_window,1,replan_ewma,20,classification
1,3.9015,0.5228831783312772,0.14500000000000002,0.0750420757396351,drift,,,,0.05,window_1,sliding_window,1,replan_trend,20,classification
